"SalesDate","Organization","DayOfInterest","DayOfInterestCode","DayOfWeek","DayOfWeekCode","InKingCounty","InKitsapCounty","InPierceCounty","InSnohomishCounty","InSpokaneCounty","InVancouver","IsOrdinaryDay","Log1pDaysSinceOpening","NumLocationsGroup"
2017-04-27,"2020 SOLUTIONS","FourTwentySeven",-3,"Thursday",2,0,0,0,0,0,0,0,6.66695679242921,2
2017-04-28,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.6682282484174,2
2017-04-29,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.66949808985788,2
2017-04-30,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.67076632084587,2
2017-05-01,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.67203294546107,2
2017-05-02,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.67329796776765,2
2017-05-03,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.67456139181443,2
2017-05-04,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.67582322163485,2
2017-05-05,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.67708346124714,2
2017-05-06,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.67834211465433,2
2017-05-07,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.67959918584438,2
2017-05-08,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.68085467879022,2
2017-05-09,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.68210859744981,2
2017-05-10,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.68336094576627,2
2017-05-11,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.68461172766793,2
2017-05-12,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.68586094706836,2
2017-05-13,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.68710860786651,2
